,English,,Simplified Chinese,
TSN,STATION NAME,SUBURB,车站名称,市郊
252910,Dunmore Station,Dunmore,邓莫尔 (Dunmore) 站,邓莫尔 (Dunmore)
253010,Kembla Grange Station,Kembla Grange,坎布拉格兰奇 (Kembla Grange) 站,坎布拉格兰奇 (Kembla Grange)
253310,Minnamurra Station,Minnamurra,敏拉穆拉 (Minnamurra) 站,敏拉穆拉 (Minnamurra)
253420,Gerringong Station,Gerringong,杰林冈 (Gerringong) 站,杰林冈 (Gerringong)
253510,Berry Station,Berry,贝里 (Berry) 站,贝里 (Berry)
254110,Bomaderry Station,Bomaderry,博马德里 (Bomaderry) 站,博马德里 (Bomaderry)
256010,Leumeah Station,Leumeah,利尤梅 (Leumeah) 站,利尤梅 (Leumeah)
256410,Macquarie Fields Station,Macquarie Fields,麦格理菲尔兹 (Macquarie Fields) 站,麦格理菲尔兹 (Macquarie Fields)
256510,Ingleburn Station,Ingleburn,英格尔伯恩  (Ingleburn) 站,英格尔伯恩  (Ingleburn)
256810,Menangle Station,Menangle,梅南哥 (Menangle) 站,梅南哥 (Menangle)
257110,Picton Station,Picton,皮克顿 (Picton) 站,皮克顿 (Picton)
257310,Tahmoor Station,Tahmoor,塔莫尔 (Tahmoor) 站,塔莫尔 (Tahmoor)
257420,Bargo Station,Bargo,巴高 (Bargo) 站,巴高 (Bargo)
257510,Mittagong Station,Mittagong,米塔贡 (Mittagong) 站,米塔贡 (Mittagong)
257540,Yerrinbool Station,Yerrinbool,耶连布尔 (Yerrinbool) 站,耶连布尔 (Yerrinbool)
257610,Bowral Station,Bowral,鲍勒尔 (Bowral) 站,鲍勒尔 (Bowral)
222810,Miranda Station,Miranda,米兰达 (Miranda) 站,米兰达 (Miranda)
222910,Caringbah Station,Caringbah,卡灵巴 (Caringbah) 站,卡灵巴 (Caringbah)
223010,Woolooware Station,Woolooware,乌鲁瓦 (Woolooware) 站,乌鲁瓦 (Woolooware)
223230,Kirrawee Station,Kirrawee,奇娃尔 (Kirrawee) 站,奇娃尔 (Kirrawee)
223310,Engadine Station,Engadine,恩加丁 (Engadine) 站,恩加丁 (Engadine)
223320,Heathcote Station,Heathcote,希思科特 (Heathcote) 站,希思科特 (Heathcote)
223330,Waterfall Station,Waterfall,瀑布 (Waterfall) 站,瀑布 (Waterfall)
225010,Wondabyne Station,Wondabyne,湾态阪 (Wondabyne) 站,湾态阪 (Wondabyne)
225020,Tascott Station,Tascott,塔斯科特 (Tascott) 站,塔斯科特 (Tascott)
225060,Niagara Park Station,Niagara Park,尼加拉公园 (Niagara Park) 站,尼加拉公园 (Niagara Park)
225070,Lisarow Station,Lisarow,利萨罗 (Lisarow) 站,利萨罗 (Lisarow)
225620,Koolewong Station,Koolewong,库利旺 (Koolewong) 站,库利旺 (Koolewong)
225810,Ourimbah Station,Ourimbah,欧林巴 (Ourimbah) 站,欧林巴 (Ourimbah)
225910,Tuggerah Station,Tuggerah,塔格拉 (Tuggerah) 站,塔格拉 (Tuggerah)
206510,Wollstonecraft Station,Wollstonecraft,沃斯通克拉夫特 (Wollstonecraft) 站,沃斯通克拉夫特 (Wollstonecraft)
206520,St Leonards Station,St Leonards,圣伦纳兹 (St Leonards) 站,圣伦纳兹 (St Leonards)
206710,Chatswood Station,Chatswood,车士活 (Chatswood) 站,车士活 (Chatswood)
206910,Roseville Station,Roseville,罗斯维尔 (Roseville) 站,罗斯维尔 (Roseville)
207210,Gordon Station,Gordon,戈登 (Gordon) 站,戈登 (Gordon)
207310,Pymble Station,Pymble,平布尔 (Pymble) 站,平布尔 (Pymble)
207410,Turramurra Station,Turramurra,塔勒马拉 (Turramurra) 站,塔勒马拉 (Turramurra)
207610,Wahroonga Station,Wahroonga,沃龙加 (Wahroonga) 站,沃龙加 (Wahroonga)
207620,Normanhurst Station,Normanhurst,诺曼赫斯特 (Normanhurst) 站,诺曼赫斯特 (Normanhurst)
207710,Waitara Station,Waitara,怀塔拉 (Waitara) 站,怀塔拉 (Waitara)
207720,Hornsby Station,Hornsby,康士比 (Hornsby) 站,康士比 (Hornsby)
220410,Marrickville Station,Marrickville,马里克维尔 (Marrickville) 站,马里克维尔 (Marrickville)
220510,Wolli Creek Station,Wolli Creek,涡拉溪 (Wolli Creek) 站,涡拉溪 (Wolli Creek)
220520,Arncliffe Station,Arncliffe,安克利夫 (Arncliffe) 站,安克利夫 (Arncliffe)
220530,Turrella Station,Turrella,图雷拉 (Turrella) 站,图雷拉 (Turrella)
220710,Bardwell Park Station,Bardwell Park,巴德威公园 (Bardwell Park) 站,巴德威公园 (Bardwell Park)
220720,Bexley North Station,Bexley North,北贝克斯利 (Bexley North) 站,北贝克斯利 (Bexley North)
220810,Kingsgrove Station,Kingsgrove,京士高 (Kingsgrove) 站,京士高 (Kingsgrove)
220910,Beverly Hills Station,Beverly Hills,比华利山 (Beverly Hills) 站,比华利山 (Beverly Hills)
220920,Narwee Station,Narwee,那威 (Narwee) 站,那威 (Narwee)
221110,Padstow Station,Padstow,帕茲托 (Padstow) 站,帕茲托 (Padstow)
221210,Revesby Station,Revesby,瑞斯比 (Revesby) 站,瑞斯比 (Revesby)
221310,Panania Station,Panania,帕纳尼安 (Panania) 站,帕纳尼安 (Panania)
221610,Banksia Station,Banksia,奔驰亚 (Banksia) 站,奔驰亚 (Banksia)
221620,Rockdale Station,Rockdale,石谷 (Rockdale) 站,石谷 (Rockdale)
221810,Carlton Station,Carlton,交顿 (Carlton) 站,交顿 (Carlton)
222010,Hurstville Station,Hurstville,好士围 (Hurstville) 站,好士围 (Hurstville)
225940,Wyee Station,Wyee,怀伊 (Wyee) 站,怀伊 (Wyee)
226410,Morisset Station,Morisset,莫里塞特 (Morisset) 站,莫里塞特 (Morisset)
226420,Dora Creek Station,Dora Creek,多拉溪 (Dora Creek) 站,多拉溪 (Dora Creek)
228310,Awaba Station,Awaba,阿瓦巴 (Awaba) 站,阿瓦巴 (Awaba)
228330,Fassifern Station,Fassifern,法斯芬 (Fassifern) 站,法斯芬 (Fassifern)
228430,Cockle Creek Station,Argenton,科克尔溪 (Cockle Creek) 站,阿根顿 (Argenton)
228520,Cardiff Station,Cardiff,卡迪夫 (Cardiff) 站,卡迪夫 (Cardiff)
228550,Glendale Station,Glendale,格伦代尔 (Glendale) 站,格伦代尔 (Glendale)
228920,Adamstown Station,Adamstown,亚当斯镇 (Adamstown) 站,亚当斯镇 (Adamstown)
229210,Broadmeadow Station,Broadmeadow,布罗德梅多 (Broadmeadow) 站,布罗德梅多 (Broadmeadow)
229310,Newcastle Interchange,Wickham,纽卡斯尔 (Newcastle) 交汇站,威克姆 (Wickham)
230310,Hamilton Station,Hamilton,汉密尔顿 (Hamilton) 站,汉密尔顿 (Hamilton)
230410,Waratah Station,Mayfield,瓦拉塔 (Waratah) 站,梅菲尔德 (Mayfield)
230420,Warabrook Station,Warabrook,瓦瑞布如克 (Warabrook) 站,瓦瑞布如克 (Warabrook)
232030,Telarah Station,Telarah,特拉赫 (Telarah) 站,特拉赫 (Telarah)
232050,Mindaribba Station,Mindaribba,明达里巴 (Mindaribba) 站,明达里巴 (Mindaribba)
232210,Hexham Station,Hexham,赫克瑟姆 (Hexham) 站,赫克瑟姆 (Hexham)
232220,Tarro Station,Tarro,塔罗 (Tarro) 站,塔罗 (Tarro)
232240,Thornton Station,Thornton,桑顿 (Thornton) 站,桑顿 (Thornton)
232310,Metford Station,East Maitland,梅特福德 (Metford) 站,东梅特兰 (East Maitland)
232320,Victoria Street Station,East Maitland,维多利亚街 (Victoria Street) 站,东梅特兰 (East Maitland)
232330,East Maitland Station,East Maitland,东梅特兰 (East Maitland) 站,东梅特兰 (East Maitland)
233010,Singleton Station,Singleton,辛格尔顿 (Singleton) 站,辛格尔顿 (Singleton)
